RowNumber,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Age_Group_26-35,Age_Group_36-45,Age_Group_46-55,Age_Group_56-65,Age_Group_65+,Cluster
2,608,2,0,41,1,83807.86,1,0,1,112542.58,0,False,True,False,False,False,0
4,699,0,0,39,1,0.0,2,0,0,93826.63,0,False,True,False,False,False,0
5,850,2,0,43,2,125510.82,1,1,1,79084.1,0,False,True,False,False,False,2
7,822,0,1,50,7,0.0,2,1,1,10062.8,0,False,False,True,False,False,1
9,501,0,1,44,4,142051.07,2,0,1,74940.5,0,False,True,False,False,False,0
10,684,0,1,27,2,134603.88,1,1,1,71725.73,0,True,False,False,False,False,2
11,528,0,1,31,6,102016.72,2,0,0,80181.12,0,True,False,False,False,False,0
12,497,2,1,24,3,0.0,2,1,0,76390.01,0,False,False,False,False,False,1
13,476,0,0,34,10,0.0,2,1,0,26260.98,0,True,False,False,False,False,1
14,549,0,0,25,5,0.0,2,0,0,190857.79,0,False,False,False,False,False,0
15,635,2,0,35,7,0.0,2,1,1,65951.65,0,True,False,False,False,False,1
16,616,1,1,45,3,143129.41,2,0,1,64327.26,0,False,True,False,False,False,0
18,549,2,0,24,9,0.0,2,1,1,14406.41,0,False,False,False,False,False,1
19,587,2,1,45,6,0.0,1,0,0,158684.81,0,False,True,False,False,False,0
20,726,0,0,24,6,0.0,2,1,1,54724.03,0,False,False,False,False,False,1
21,732,0,1,41,8,0.0,2,1,1,170886.17,0,False,True,False,False,False,1
22,636,2,0,32,8,0.0,2,1,0,138555.46,0,True,False,False,False,False,1
24,669,0,1,46,3,0.0,2,0,1,8487.75,0,False,False,True,False,False,0
25,846,0,0,38,5,0.0,1,1,1,187616.16,0,False,True,False,False,False,2
26,577,0,1,25,3,0.0,2,0,1,124508.29,0,False,False,False,False,False,0
27,756,1,1,36,2,136815.64,1,1,1,170041.95,0,False,True,False,False,False,2
28,571,0,1,44,9,0.0,2,0,0,38433.35,0,False,True,False,False,False,0
29,574,1,0,43,3,141349.43,1,1,1,100187.43,0,False,True,False,False,False,2
30,411,0,1,29,0,59697.17,2,1,1,53483.21,0,True,False,False,False,False,1
32,533,0,1,36,7,85311.7,1,0,1,156731.91,0,False,True,False,False,False,0
33,553,1,1,41,9,110112.54,2,0,0,81898.81,0,False,True,False,False,False,0
34,520,2,0,42,6,0.0,2,1,1,34410.55,0,False,True,False,False,False,1
35,722,2,0,29,9,0.0,2,1,1,142033.07,0,True,False,False,False,False,1
37,490,2,1,31,3,145260.23,1,0,1,114066.77,0,True,False,False,False,False,0
38,804,2,1,33,7,76548.6,1,0,1,98453.45,0,True,False,False,False,False,0
39,850,0,1,36,7,0.0,1,1,1,40812.9,0,False,True,False,False,False,2
40,582,1,1,41,6,70349.48,2,0,1,178074.04,0,False,True,False,False,False,0
41,472,2,1,40,4,0.0,1,1,0,70154.22,0,False,True,False,False,False,2
46,776,1,0,32,4,109421.13,2,1,1,126517.46,0,True,False,False,False,False,1
49,550,1,1,38,2,103391.38,1,0,1,90878.13,0,False,True,False,False,False,0
50,776,1,0,37,2,103769.22,2,1,0,194099.12,0,False,True,False,False,False,1
51,698,1,1,44,10,116363.37,2,1,0,198059.16,0,False,True,False,False,False,1
52,585,1,1,36,5,146050.97,2,0,0,86424.57,0,False,True,False,False,False,0
53,788,0,0,33,5,0.0,2,0,0,116978.19,0,True,False,False,False,False,0
56,619,0,1,43,1,125211.92,1,1,1,113410.49,0,False,True,False,False,False,2
57,656,0,1,45,5,127864.4,1,1,0,87107.57,0,False,True,False,False,False,2
58,725,1,1,19,0,75888.2,1,0,0,45613.75,0,False,False,False,False,False,0
60,614,0,1,51,4,40685.92,1,1,1,46775.28,0,False,False,True,False,False,2
61,742,1,1,35,5,136857.0,1,0,0,84509.57,0,True,False,False,False,False,0
62,687,1,0,27,9,152328.88,2,0,0,126494.82,0,True,False,False,False,False,0
63,555,2,1,33,1,56084.69,2,0,0,178798.13,0,True,False,False,False,False,0
64,684,2,1,56,8,78707.16,1,1,1,99398.36,0,False,False,False,True,False,2
65,603,1,1,26,4,109166.37,1,1,1,92840.67,0,True,False,False,False,False,2
66,751,1,0,36,6,169831.46,2,1,1,27758.36,0,False,True,False,False,False,1
67,581,1,0,34,1,101633.04,1,1,0,110431.51,0,True,False,False,False,False,2
68,735,1,1,43,10,123180.01,2,1,1,196673.28,0,False,True,False,False,False,1
69,661,1,0,35,5,150725.53,2,0,1,113656.85,0,True,False,False,False,False,0
70,675,0,0,21,8,98373.26,1,1,0,18203.0,0,False,False,False,False,False,2
72,813,0,1,29,6,0.0,1,1,0,33953.87,0,True,False,False,False,False,2
73,657,2,0,37,0,163607.18,1,0,1,44203.55,0,False,True,False,False,False,0
74,604,1,0,25,5,157780.84,2,1,1,58426.81,0,False,False,False,False,False,1
75,519,0,1,36,9,0.0,2,0,1,145562.4,0,False,True,False,False,False,0
76,735,0,0,21,1,178718.19,2,1,0,22388.0,0,False,False,False,False,False,1
77,664,0,1,55,8,0.0,2,1,1,139161.64,0,False,False,True,False,False,1
78,678,0,0,32,9,0.0,1,1,1,148210.64,0,True,False,False,False,False,2
79,757,2,1,33,5,77253.22,1,0,1,194239.63,0,True,False,False,False,False,0
80,416,1,0,41,10,122189.66,2,1,0,98301.61,0,False,True,False,False,False,1
81,665,0,0,34,1,96645.54,2,0,0,171413.66,0,True,False,False,False,False,0
83,543,0,0,36,3,0.0,2,0,0,26019.59,0,False,True,False,False,False,0
84,506,0,0,34,4,90307.62,1,1,1,159235.29,0,True,False,False,False,False,2
85,493,0,0,46,4,0.0,2,1,0,1907.66,0,False,False,True,False,False,1
